Make,Model,Year,MSRP,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque
Bentley,Continental,2024,291300.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,315800.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,355600.0,Midsize,Coupe,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,274000.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,300000.0,Midsize,Coupe,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,336000.0,Midsize,Coupe,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,242700.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,281600.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,320300.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,336000.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,391100.0,Midsize,Convertible,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,301300.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,330000.0,Midsize,Convertible,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,367200.0,Midsize,Convertible,W12,Twin-Turbo,AWD,automatic,650.0,664.0
Bentley,Continental,2024,267000.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Flying Spur,2024,235800.0,Large,Sedan,V6,Twin-Turbo,AWD,automatic,536.0,553.0
Bentley,Flying Spur,2024,229100.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Flying Spur,2024,256600.0,Large,Sedan,V6,Twin-Turbo,AWD,automatic,536.0,553.0
Bentley,Flying Spur,2024,257800.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Flying Spur,2024,221200.0,Large,Sedan,V6,Twin-Turbo,AWD,automatic,536.0,553.0
Bentley,Flying Spur,2024,306300.0,Large,Sedan,V6,Twin-Turbo,AWD,automatic,536.0,553.0
Bentley,Flying Spur,2024,308200.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Flying Spur,2024,324700.0,Large,Sedan,W12,Twin-Turbo,AWD,automatic,626.0,664.0
Bentley,Flying Spur,2024,247700.0,Large,Sedan,V6,Twin-Turbo,AWD,automatic,536.0,553.0
Bentley,Flying Spur,2024,248400.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Flying Spur,2024,266500.0,Large,Sedan,W12,Twin-Turbo,AWD,automatic,626.0,664.0
Bentley,Flying Spur,2024,300200.0,Large,Sedan,W12,Twin-Turbo,AWD,automatic,626.0,664.0
Bentley,Flying Spur,2024,214900.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Ford,Bronco,2024,50095.0,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,51385.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,39630.0,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,40370.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,43330.0,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,44070.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,55520.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,automatic,300.0,325.0
Ford,Bronco,2024,48555.0,Compact,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,49475.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,manual,300.0,325.0
Ford,Bronco,2024,69685.0,Compact,Convertible SUV,V6,Twin-Turbo,4WD,automatic,330.0,415.0
Ford,Bronco,2024,71105.0,Midsize,Convertible SUV,V6,Twin-Turbo,4WD,automatic,330.0,415.0
Ford,Bronco,2024,47940.0,Midsize,Convertible SUV,I4,Turbocharged,4WD,automatic,300.0,325.0
Ford,Bronco,2024,90035.0,Midsize,Convertible SUV,V6,Twin-Turbo,4WD,automatic,418.0,440.0
Ford,Bronco,2024,60765.0,Midsize,Convertible SUV,V6,Twin-Turbo,4WD,automatic,330.0,415.0
Ford,Bronco,2024,60225.0,Compact,Convertible SUV,V6,Twin-Turbo,4WD,automatic,330.0,415.0
Ford,Bronco Sport,2024,38390.0,Compact,SUV,I4,Turbocharged,AWD,automatic,250.0,277.0
Ford,Bronco Sport,2024,29795.0,Compact,SUV,I3,Turbocharged,AWD,automatic,181.0,190.0
Ford,Bronco Sport,2024,32395.0,Compact,SUV,I3,Turbocharged,AWD,automatic,181.0,190.0
Ford,Bronco Sport,2024,32365.0,Compact,SUV,I3,Turbocharged,AWD,automatic,181.0,190.0
Ford,Bronco Sport,2024,33935.0,Compact,SUV,I3,Turbocharged,AWD,automatic,181.0,190.0
Ford,E-Transit Cargo Van,2024,54835.0,Large,Cargo Van,,Electric Motor,RWD,automatic,266.0,317.0
